group,score
A,82.01
A,84.09
A,80.08
A,75.77
A,78.82
A,75.06
A,82.42
A,91.38
A,78.55
A,77.66
A,85.43
A,84.5
A,82.74
A,75.49
A,81.8
A,86.87
A,72.59
A,78.8
A,68.69
A,72.97
A,69.11
A,80.35
A,73.13
A,83.9
A,83.1
A,80.69
A,64.38
A,78.23
A,81.66
A,82.79
A,71.29
A,78.66
A,75.15
A,76.34
A,89.43
B,65.54
B,71.74
B,79.08
B,67.33
B,71.11
B,72.88
B,72.51
B,62.2
B,72.61
B,82.87
B,59.62
B,78.88
B,72.95
B,66.87
B,88.0
B,78.1
B,62.41
B,72.6
B,76.61
B,70.49
B,77.46
B,71.47
B,77.34
B,83.51
B,66.59
B,73.63
B,68.29
B,73.02
B,62.5
B,67.37
B,70.43
B,79.19
B,81.16
B,61.41
B,65.64
B,77.18
B,56.06
B,68.29
B,71.22
B,82.06
